nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 1.9426 | Train Acc: 0.4643
 SVHN       | Train Loss: 2.2573 | Train Acc: 0.1507
 USPS       | Train Loss: 2.0824 | Train Acc: 0.3822
 SynthDigits| Train Loss: 2.2542 | Train Acc: 0.1952
 MNIST-M    | Train Loss: 2.2057 | Train Acc: 0.2692
 MNIST      | Test  Loss: 1.9369 | Test  Acc: 0.4879
 SVHN       | Test  Loss: 2.2697 | Test  Acc: 0.1373
 USPS       | Test  Loss: 2.0973 | Test  Acc: 0.3812
 SynthDigits| Test  Loss: 2.2621 | Test  Acc: 0.1885
 MNIST-M    | Test  Loss: 2.2138 | Test  Acc: 0.2370
============ Train epoch 1 ============
 MNIST      | Train Loss: 0.7384 | Train Acc: 0.8533
 SVHN       | Train Loss: 2.0627 | Train Acc: 0.4038
 USPS       | Train Loss: 1.0805 | Train Acc: 0.8223
 SynthDigits| Train Loss: 1.7530 | Train Acc: 0.5370
 MNIST-M    | Train Loss: 1.5501 | Train Acc: 0.6272
 MNIST      | Test  Loss: 0.7898 | Test  Acc: 0.8208
 SVHN       | Test  Loss: 2.1317 | Test  Acc: 0.3205
 USPS       | Test  Loss: 1.1246 | Test  Acc: 0.8016
 SynthDigits| Test  Loss: 1.8756 | Test  Acc: 0.4430
 MNIST-M    | Test  Loss: 1.7317 | Test  Acc: 0.5044
============ Train epoch 2 ============
 MNIST      | Train Loss: 0.4247 | Train Acc: 0.8829
 SVHN       | Train Loss: 1.8253 | Train Acc: 0.5437
 USPS       | Train Loss: 0.6800 | Train Acc: 0.8493
 SynthDigits| Train Loss: 1.3329 | Train Acc: 0.6851
 MNIST-M    | Train Loss: 1.1792 | Train Acc: 0.7497
 MNIST      | Test  Loss: 0.5034 | Test  Acc: 0.8486
 SVHN       | Test  Loss: 1.9679 | Test  Acc: 0.3962
 USPS       | Test  Loss: 0.7348 | Test  Acc: 0.8290
 SynthDigits| Test  Loss: 1.5397 | Test  Acc: 0.5615
 MNIST-M    | Test  Loss: 1.4581 | Test  Acc: 0.5781
============ Train epoch 3 ============
 MNIST      | Train Loss: 0.3066 | Train Acc: 0.9219
 SVHN       | Train Loss: 1.6561 | Train Acc: 0.6043
 USPS       | Train Loss: 0.4842 | Train Acc: 0.8977
 SynthDigits| Train Loss: 1.0372 | Train Acc: 0.8048
 MNIST-M    | Train Loss: 1.0544 | Train Acc: 0.7820
 MNIST      | Test  Loss: 0.3970 | Test  Acc: 0.8892
 SVHN       | Test  Loss: 1.8432 | Test  Acc: 0.4551
 USPS       | Test  Loss: 0.5576 | Test  Acc: 0.8763
 SynthDigits| Test  Loss: 1.3170 | Test  Acc: 0.6292
 MNIST-M    | Test  Loss: 1.3465 | Test  Acc: 0.6066
============ Train epoch 4 ============
 MNIST      | Train Loss: 0.2170 | Train Acc: 0.9448
 SVHN       | Train Loss: 1.5041 | Train Acc: 0.5962
 USPS       | Train Loss: 0.3649 | Train Acc: 0.9192
 SynthDigits| Train Loss: 0.8649 | Train Acc: 0.8398
 MNIST-M    | Train Loss: 0.8132 | Train Acc: 0.8869
 MNIST      | Test  Loss: 0.3064 | Test  Acc: 0.9184
 SVHN       | Test  Loss: 1.7443 | Test  Acc: 0.4525
 USPS       | Test  Loss: 0.4536 | Test  Acc: 0.8919
 SynthDigits| Test  Loss: 1.1651 | Test  Acc: 0.6664
 MNIST-M    | Test  Loss: 1.1670 | Test  Acc: 0.6811
============ Train epoch 5 ============
 MNIST      | Train Loss: 0.1813 | Train Acc: 0.9610
 SVHN       | Train Loss: 1.3433 | Train Acc: 0.7026
 USPS       | Train Loss: 0.2930 | Train Acc: 0.9300
 SynthDigits| Train Loss: 0.6900 | Train Acc: 0.8964
 MNIST-M    | Train Loss: 0.7162 | Train Acc: 0.9044
 MNIST      | Test  Loss: 0.2626 | Test  Acc: 0.9262
 SVHN       | Test  Loss: 1.6233 | Test  Acc: 0.5109
 USPS       | Test  Loss: 0.3861 | Test  Acc: 0.9065
 SynthDigits| Test  Loss: 1.0217 | Test  Acc: 0.7154
 MNIST-M    | Test  Loss: 1.1238 | Test  Acc: 0.6706
============ Train epoch 6 ============
 MNIST      | Train Loss: 0.3238 | Train Acc: 0.9017
 SVHN       | Train Loss: 1.2193 | Train Acc: 0.7645
 USPS       | Train Loss: 0.2670 | Train Acc: 0.9300
 SynthDigits| Train Loss: 0.6138 | Train Acc: 0.8762
 MNIST-M    | Train Loss: 0.8090 | Train Acc: 0.8143
 MNIST      | Test  Loss: 0.4115 | Test  Acc: 0.8679
 SVHN       | Test  Loss: 1.5530 | Test  Acc: 0.5478
 USPS       | Test  Loss: 0.3724 | Test  Acc: 0.8984
