nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 2.2024 | Train Acc: 0.1346
 SVHN       | Train Loss: 2.2450 | Train Acc: 0.1817
 USPS       | Train Loss: 2.1042 | Train Acc: 0.2719
 SynthDigits| Train Loss: 2.2381 | Train Acc: 0.1871
 MNIST-M    | Train Loss: 2.1937 | Train Acc: 0.2961
 MNIST      | Test  Loss: 2.1834 | Test  Acc: 0.1406
 SVHN       | Test  Loss: 2.2573 | Test  Acc: 0.1592
 USPS       | Test  Loss: 2.1044 | Test  Acc: 0.2785
 SynthDigits| Test  Loss: 2.2505 | Test  Acc: 0.1920
 MNIST-M    | Test  Loss: 2.2026 | Test  Acc: 0.2530
============ Train epoch 1 ============
 MNIST      | Train Loss: 1.3578 | Train Acc: 0.6205
 SVHN       | Train Loss: 1.9215 | Train Acc: 0.4455
 USPS       | Train Loss: 0.9958 | Train Acc: 0.8856
 SynthDigits| Train Loss: 1.6457 | Train Acc: 0.5626
 MNIST-M    | Train Loss: 1.4750 | Train Acc: 0.6285
 MNIST      | Test  Loss: 1.3328 | Test  Acc: 0.6396
 SVHN       | Test  Loss: 2.0553 | Test  Acc: 0.3454
 USPS       | Test  Loss: 1.0411 | Test  Acc: 0.8581
 SynthDigits| Test  Loss: 1.8062 | Test  Acc: 0.4299
 MNIST-M    | Test  Loss: 1.6880 | Test  Acc: 0.4691
============ Train epoch 2 ============
 MNIST      | Train Loss: 0.8623 | Train Acc: 0.7658
 SVHN       | Train Loss: 1.5286 | Train Acc: 0.6151
 USPS       | Train Loss: 0.5452 | Train Acc: 0.9341
 SynthDigits| Train Loss: 1.2619 | Train Acc: 0.6581
 MNIST-M    | Train Loss: 1.0842 | Train Acc: 0.7470
 MNIST      | Test  Loss: 0.8922 | Test  Acc: 0.7464
 SVHN       | Test  Loss: 1.8059 | Test  Acc: 0.4386
 USPS       | Test  Loss: 0.6081 | Test  Acc: 0.9086
 SynthDigits| Test  Loss: 1.5215 | Test  Acc: 0.5232
 MNIST-M    | Test  Loss: 1.3914 | Test  Acc: 0.5638
============ Train epoch 3 ============
 MNIST      | Train Loss: 0.5753 | Train Acc: 0.9139
 SVHN       | Train Loss: 1.2554 | Train Acc: 0.7187
 USPS       | Train Loss: 0.4725 | Train Acc: 0.9273
 SynthDigits| Train Loss: 0.9463 | Train Acc: 0.8022
 MNIST-M    | Train Loss: 0.8980 | Train Acc: 0.8425
 MNIST      | Test  Loss: 0.6390 | Test  Acc: 0.8641
 SVHN       | Test  Loss: 1.6050 | Test  Acc: 0.5193
 USPS       | Test  Loss: 0.5389 | Test  Acc: 0.8946
 SynthDigits| Test  Loss: 1.2653 | Test  Acc: 0.6275
 MNIST-M    | Test  Loss: 1.2246 | Test  Acc: 0.6446
============ Train epoch 4 ============
 MNIST      | Train Loss: 0.4441 | Train Acc: 0.9273
 SVHN       | Train Loss: 1.0955 | Train Acc: 0.7712
 USPS       | Train Loss: 0.2798 | Train Acc: 0.9596
 SynthDigits| Train Loss: 0.7718 | Train Acc: 0.8493
 MNIST-M    | Train Loss: 0.7364 | Train Acc: 0.8546
 MNIST      | Test  Loss: 0.5273 | Test  Acc: 0.8906
 SVHN       | Test  Loss: 1.4891 | Test  Acc: 0.5593
 USPS       | Test  Loss: 0.3722 | Test  Acc: 0.9290
 SynthDigits| Test  Loss: 1.1188 | Test  Acc: 0.6743
 MNIST-M    | Test  Loss: 1.1226 | Test  Acc: 0.6637
============ Train epoch 5 ============
 MNIST      | Train Loss: 0.2849 | Train Acc: 0.9690
 SVHN       | Train Loss: 0.9429 | Train Acc: 0.8143
 USPS       | Train Loss: 0.2255 | Train Acc: 0.9731
 SynthDigits| Train Loss: 0.5893 | Train Acc: 0.9179
 MNIST-M    | Train Loss: 0.6194 | Train Acc: 0.8923
 MNIST      | Test  Loss: 0.3716 | Test  Acc: 0.9352
 SVHN       | Test  Loss: 1.3915 | Test  Acc: 0.5825
 USPS       | Test  Loss: 0.3212 | Test  Acc: 0.9290
 SynthDigits| Test  Loss: 0.9544 | Test  Acc: 0.7332
 MNIST-M    | Test  Loss: 1.0551 | Test  Acc: 0.6725
============ Train epoch 6 ============
 MNIST      | Train Loss: 0.3696 | Train Acc: 0.9327
 SVHN       | Train Loss: 0.9445 | Train Acc: 0.7820
 USPS       | Train Loss: 0.2297 | Train Acc: 0.9637
