nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 2.2048 | Train Acc: 0.1131
 SVHN       | Train Loss: 2.2659 | Train Acc: 0.1844
 USPS       | Train Loss: 2.1754 | Train Acc: 0.2207
 SynthDigits| Train Loss: 2.2606 | Train Acc: 0.1938
 MNIST-M    | Train Loss: 2.2217 | Train Acc: 0.2665
 MNIST      | Test  Loss: 2.1805 | Test  Acc: 0.1191
 SVHN       | Test  Loss: 2.2760 | Test  Acc: 0.1652
 USPS       | Test  Loss: 2.1838 | Test  Acc: 0.2091
 SynthDigits| Test  Loss: 2.2670 | Test  Acc: 0.1826
 MNIST-M    | Test  Loss: 2.2317 | Test  Acc: 0.2362
============ Train epoch 1 ============
 MNIST      | Train Loss: 1.6041 | Train Acc: 0.4845
 SVHN       | Train Loss: 1.9189 | Train Acc: 0.5034
 USPS       | Train Loss: 1.2291 | Train Acc: 0.8479
 SynthDigits| Train Loss: 1.7176 | Train Acc: 0.5626
 MNIST-M    | Train Loss: 1.5882 | Train Acc: 0.6568
 MNIST      | Test  Loss: 1.5833 | Test  Acc: 0.5124
 SVHN       | Test  Loss: 2.0841 | Test  Acc: 0.3181
 USPS       | Test  Loss: 1.2832 | Test  Acc: 0.8220
 SynthDigits| Test  Loss: 1.8950 | Test  Acc: 0.4246
 MNIST-M    | Test  Loss: 1.7760 | Test  Acc: 0.4857
============ Train epoch 2 ============
 MNIST      | Train Loss: 1.0238 | Train Acc: 0.7752
 SVHN       | Train Loss: 1.5543 | Train Acc: 0.6770
 USPS       | Train Loss: 0.7803 | Train Acc: 0.9233
 SynthDigits| Train Loss: 1.3353 | Train Acc: 0.7281
 MNIST-M    | Train Loss: 1.1923 | Train Acc: 0.7429
 MNIST      | Test  Loss: 1.0555 | Test  Acc: 0.7700
 SVHN       | Test  Loss: 1.8586 | Test  Acc: 0.4410
 USPS       | Test  Loss: 0.8619 | Test  Acc: 0.8860
 SynthDigits| Test  Loss: 1.5987 | Test  Acc: 0.5371
 MNIST-M    | Test  Loss: 1.4970 | Test  Acc: 0.5609
============ Train epoch 3 ============
 MNIST      | Train Loss: 0.8625 | Train Acc: 0.8156
 SVHN       | Train Loss: 1.3252 | Train Acc: 0.7524
 USPS       | Train Loss: 0.5224 | Train Acc: 0.9556
 SynthDigits| Train Loss: 1.0657 | Train Acc: 0.8062
 MNIST-M    | Train Loss: 0.9650 | Train Acc: 0.8493
 MNIST      | Test  Loss: 0.8856 | Test  Acc: 0.8033
 SVHN       | Test  Loss: 1.6899 | Test  Acc: 0.5102
 USPS       | Test  Loss: 0.6131 | Test  Acc: 0.9151
 SynthDigits| Test  Loss: 1.3760 | Test  Acc: 0.6146
 MNIST-M    | Test  Loss: 1.3079 | Test  Acc: 0.6435
============ Train epoch 4 ============
 MNIST      | Train Loss: 0.6146 | Train Acc: 0.9152
 SVHN       | Train Loss: 1.1246 | Train Acc: 0.7860
 USPS       | Train Loss: 0.3865 | Train Acc: 0.9758
 SynthDigits| Train Loss: 0.8939 | Train Acc: 0.8439
 MNIST-M    | Train Loss: 0.7940 | Train Acc: 0.8923
 MNIST      | Test  Loss: 0.6753 | Test  Acc: 0.8759
 SVHN       | Test  Loss: 1.5607 | Test  Acc: 0.5420
 USPS       | Test  Loss: 0.4828 | Test  Acc: 0.9306
 SynthDigits| Test  Loss: 1.2419 | Test  Acc: 0.6499
 MNIST-M    | Test  Loss: 1.1928 | Test  Acc: 0.6719
============ Train epoch 5 ============
 MNIST      | Train Loss: 0.4311 | Train Acc: 0.9596
 SVHN       | Train Loss: 0.9610 | Train Acc: 0.8425
 USPS       | Train Loss: 0.2700 | Train Acc: 0.9785
 SynthDigits| Train Loss: 0.7148 | Train Acc: 0.9166
 MNIST-M    | Train Loss: 0.6612 | Train Acc: 0.9219
 MNIST      | Test  Loss: 0.5125 | Test  Acc: 0.9176
 SVHN       | Test  Loss: 1.4585 | Test  Acc: 0.5803
 USPS       | Test  Loss: 0.3779 | Test  Acc: 0.9366
 SynthDigits| Test  Loss: 1.1116 | Test  Acc: 0.7043
 MNIST-M    | Test  Loss: 1.0947 | Test  Acc: 0.6969
============ Train epoch 6 ============
 MNIST      | Train Loss: 0.3480 | Train Acc: 0.9623
 SVHN       | Train Loss: 0.8837 | Train Acc: 0.8762
 USPS       | Train Loss: 0.2329 | Train Acc: 0.9771
 SynthDigits| Train Loss: 0.6044 | Train Acc: 0.9246
 MNIST-M    | Train Loss: 0.5322 | Train Acc: 0.9556
 MNIST      | Test  Loss: 0.4440 | Test  Acc: 0.9181
 SVHN       | Test  Loss: 1.3801 | Test  Acc: 0.6055
 USPS       | Test  Loss: 0.3272 | Test  Acc: 0.9409
 SynthDigits| Test  Loss: 1.0253 | Test  Acc: 0.7134
 MNIST-M    | Test  Loss: 1.0061 | Test  Acc: 0.7240
============ Train epoch 7 ============
 MNIST      | Train Loss: 0.2710 | Train Acc: 0.9838
 SVHN       | Train Loss: 0.7632 | Train Acc: 0.9085
 USPS       | Train Loss: 0.1723 | Train Acc: 0.9879
 SynthDigits| Train Loss: 0.5027 | Train Acc: 0.9529
 MNIST-M    | Train Loss: 0.4742 | Train Acc: 0.9542
 MNIST      | Test  Loss: 0.3746 | Test  Acc: 0.9388
 SVHN       | Test  Loss: 1.3141 | Test  Acc: 0.6218
 USPS       | Test  Loss: 0.2770 | Test  Acc: 0.9495
 SynthDigits| Test  Loss: 0.9449 | Test  Acc: 0.7482
 MNIST-M    | Test  Loss: 0.9791 | Test  Acc: 0.7194
============ Train epoch 8 ============
 MNIST      | Train Loss: 0.2189 | Train Acc: 0.9825
 SVHN       | Train Loss: 0.6687 | Train Acc: 0.9152
 USPS       | Train Loss: 0.1578 | Train Acc: 0.9879
 SynthDigits| Train Loss: 0.4298 | Train Acc: 0.9677
 MNIST-M    | Train Loss: 0.4026 | Train Acc: 0.9677
 MNIST      | Test  Loss: 0.3371 | Test  Acc: 0.9397
 SVHN       | Test  Loss: 1.2688 | Test  Acc: 0.6311
 USPS       | Test  Loss: 0.2661 | Test  Acc: 0.9489
 SynthDigits| Test  Loss: 0.8848 | Test  Acc: 0.7549
 MNIST-M    | Test  Loss: 0.9475 | Test  Acc: 0.7268
============ Train epoch 9 ============
 MNIST      | Train Loss: 0.1890 | Train Acc: 0.9892
 SVHN       | Train Loss: 0.5935 | Train Acc: 0.9394
 USPS       | Train Loss: 0.1221 | Train Acc: 0.9906
 SynthDigits| Train Loss: 0.3395 | Train Acc: 0.9744
 MNIST-M    | Train Loss: 0.3219 | Train Acc: 0.9879
 MNIST      | Test  Loss: 0.3134 | Test  Acc: 0.9396
 SVHN       | Test  Loss: 1.2350 | Test  Acc: 0.6353
 USPS       | Test  Loss: 0.2435 | Test  Acc: 0.9441
 SynthDigits| Test  Loss: 0.8449 | Test  Acc: 0.7573
 MNIST-M    | Test  Loss: 0.8860 | Test  Acc: 0.7482
============ Train epoch 10 ============
 MNIST      | Train Loss: 0.1444 | Train Acc: 0.9946
 SVHN       | Train Loss: 0.5043 | Train Acc: 0.9556
 USPS       | Train Loss: 0.1032 | Train Acc: 0.9946
 SynthDigits| Train Loss: 0.2868 | Train Acc: 0.9812
 MNIST-M    | Train Loss: 0.2863 | Train Acc: 0.9825
 MNIST      | Test  Loss: 0.2684 | Test  Acc: 0.9511
 SVHN       | Test  Loss: 1.1907 | Test  Acc: 0.6487
 USPS       | Test  Loss: 0.2239 | Test  Acc: 0.9500
 SynthDigits| Test  Loss: 0.7913 | Test  Acc: 0.7751
 MNIST-M    | Test  Loss: 0.8723 | Test  Acc: 0.7429
============ Train epoch 11 ============
 MNIST      | Train Loss: 0.1103 | Train Acc: 0.9987
 SVHN       | Train Loss: 0.4410 | Train Acc: 0.9637
 USPS       | Train Loss: 0.0940 | Train Acc: 0.9960
