nohup: no se tendrá en cuenta la entrada
/home/jiahui/miniconda3/lib/python3.9/site-packages/requests/__init__.py:102: RequestsDependencyWarning: urllib3 (1.26.8) or chardet (5.0.0)/charset_normalizer (2.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({})/charset_normalizer ({}) doesn't match a supported "
Device: cuda
============ Train epoch 0 ============
 MNIST      | Train Loss: 1.9322 | Train Acc: 0.5182
 SVHN       | Train Loss: 2.2592 | Train Acc: 0.1696
 USPS       | Train Loss: 2.0963 | Train Acc: 0.4186
 SynthDigits| Train Loss: 2.2476 | Train Acc: 0.2127
 MNIST-M    | Train Loss: 2.2007 | Train Acc: 0.2665
 MNIST      | Test  Loss: 1.9272 | Test  Acc: 0.5396
 SVHN       | Test  Loss: 2.2704 | Test  Acc: 0.1404
 USPS       | Test  Loss: 2.1104 | Test  Acc: 0.4124
 SynthDigits| Test  Loss: 2.2600 | Test  Acc: 0.1979
 MNIST-M    | Test  Loss: 2.2087 | Test  Acc: 0.2529
============ Train epoch 1 ============
 MNIST      | Train Loss: 0.7222 | Train Acc: 0.8116
 SVHN       | Train Loss: 2.0592 | Train Acc: 0.3647
 USPS       | Train Loss: 1.0764 | Train Acc: 0.8170
 SynthDigits| Train Loss: 1.7454 | Train Acc: 0.5236
 MNIST-M    | Train Loss: 1.5365 | Train Acc: 0.6474
 MNIST      | Test  Loss: 0.7724 | Test  Acc: 0.8109
 SVHN       | Test  Loss: 2.1294 | Test  Acc: 0.2984
 USPS       | Test  Loss: 1.1209 | Test  Acc: 0.7946
 SynthDigits| Test  Loss: 1.8747 | Test  Acc: 0.4283
 MNIST-M    | Test  Loss: 1.7216 | Test  Acc: 0.5071
============ Train epoch 2 ============
 MNIST      | Train Loss: 0.4529 | Train Acc: 0.8533
 SVHN       | Train Loss: 1.8205 | Train Acc: 0.5074
 USPS       | Train Loss: 0.6638 | Train Acc: 0.8506
 SynthDigits| Train Loss: 1.3312 | Train Acc: 0.6824
 MNIST-M    | Train Loss: 1.1974 | Train Acc: 0.7079
 MNIST      | Test  Loss: 0.5331 | Test  Acc: 0.8257
 SVHN       | Test  Loss: 1.9718 | Test  Acc: 0.3830
 USPS       | Test  Loss: 0.7264 | Test  Acc: 0.8290
 SynthDigits| Test  Loss: 1.5517 | Test  Acc: 0.5378
 MNIST-M    | Test  Loss: 1.4676 | Test  Acc: 0.5496
============ Train epoch 3 ============
